ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
19,003,0000,190030000023,1,19-003-0000-03,00011,1,01,19003000002302,02,1,1,13,03,2015,05,0501,019,221,1,,,,,,,1
19,003,0000,190030000023,1,19-003-0000-03,00011,1,01,19003000002303,04,1,1,10,03,2015,05,0501,019,221,1,,,,,,,1
19,003,0000,190030000023,1,19-003-0000-03,00011,1,01,19003000002304,03,1,1,11,03,2015,05,0501,019,221,1,,,,,,,1
19,003,0000,190030000040,1,19-003-0000-03,00015,1,01,19003000004001,01,1,3,71,12,2015,03,0301,019,221,1,,,,,,,1
19,003,0000,190030000051,1,19-003-0000-03,00021,1,02,19003000005101,01,1,1,24,06,2016,04,0401,019,221,1,,,,,,,1
19,003,0000,190030000085,1,19-003-0000-03,00033,1,01,19003000008501,01,1,1,19,11,2018,01,0101,019,221,1,,,,,,,1
19,003,0000,190030000151,1,19-003-0000-03,00059,1,01,19003000015101,01,1,1,24,10,2017,01,0101,019,221,1,,,,,,,1
19,003,0000,190030000154,1,19-003-0000-03,00060,1,01,19003000015401,01,1,3,21,11,2017,04,0401,019,221,1,,,,,,,1
19,003,0000,190030000163,1,19-003-0000-03,00063,1,01,19003000016301,01,1,3,11,06,2015,05,0501,019,221,1,,,,,,,1
19,003,0000,190030000163,1,19-003-0000-03,00063,1,01,19003000016302,02,1,3,10,06,2015,05,0501,019,221,1,,,,,,,1
19,003,0000,190030000163,1,19-003-0000-03,00063,1,01,19003000016303,03,1,3,9,06,2015,05,0501,019,221,1,,,,,,,1
19,003,0000,190030000168,1,19-003-0000-03,00064,1,01,19003000016801,01,1,1,38,04,2019,01,0101,019,221,1,,,,,,,1
19,003,0000,190030000168,1,19-003-0000-03,00064,1,01,19003000016802,02,1,3,27,04,2019,03,0301,019,221,1,,,,,,,1
19,003,0000,190030000181,1,19-003-0000-03,00070,1,01,19003000018101,01,1,3,19,03,2018,04,0401,019,221,1,,,,,,,1
19,003,0000,190030000184,1,19-003-0000-03,00071,1,01,19003000018401,01,1,1,32,02,2019,01,0101,019,221,1,,,,,,,1
19,003,0000,190030000266,1,19-003-0000-03,00093,1,01,19003000026601,01,1,1,39,12,2015,01,0101,019,221,1,,,,,,,1
19,003,0000,190030000288,1,19-003-0000-03,00093,1,01,19003000028801,01,1,1,28,11,2019,01,0101,019,221,1,,,,,,,1
19,003,0000,190030000336,1,19-003-0000-03,00100,1,01,19003000033601,01,1,3,78,06,2015,09,0403,019,221,1,,,,,,,1
19,003,0000,190030000337,1,19-003-0000-03,00100,1,01,19003000033701,01,1,1,16,08,2019,06,0601,019,221,1,,,,,,,1
19,003,0000,190030000337,1,19-003-0000-03,00100,1,01,19003000033702,02,1,3,14,07,2019,05,0501,019,221,1,,,,,,,1
19,003,0000,190030000365,1,19-003-0000-03,00100,1,01,19003000036501,01,1,1,14,08,2019,05,0501,019,221,1,,,,,,,1
19,003,0000,190030000375,1,19-003-0000-03,00100,1,01,19003000037501,02,1,3,25,05,2015,03,0301,019,221,1,,,,,,,1
19,003,0000,190030000375,1,19-003-0000-03,00100,1,01,19003000037502,03,1,1,3,05,2015,03,0301,019,221,1,,,,,,,1
19,003,0000,190030000375,1,19-003-0000-03,00100,1,01,19003000037503,01,1,1,30,05,2015,01,0101,019,221,1,,,,,,,1
19,003,0000,190030000424,1,19-003-0000-03,00100,1,01,19003000042401,01,1,3,999,99,9999,99,9999,999,999,9,,,,,,,1
19,003,0000,190030000531,1,19-003-0000-03,00122,1,01,19003000053101,01,1,3,22,12,2016,04,0401,019,221,1,,,,,,,1
19,003,0000,190030000531,1,19-003-0000-03,00122,1,01,19003000053102,02,1,1,31,05,2017,04,0401,019,221,1,,,,,,,1
19,003,0000,190030000531,1,19-003-0000-03,00122,1,01,19003000053103,03,1,3,27,02,2016,04,0401,019,221,1,,,,,,,1
19,004,0000,190040000503,2,19-004-0000-06,00065,9,01,19004000050301,01,1,3,999,99,9999,99,9999,999,999,9,,,,,,,3
19,004,0000,190040000546,2,19-004-0000-06,00069,7,02,19004000054601,01,1,3,42,06,2016,04,0401,019,221,1,,,,,,,3
19,004,0000,190040000607,2,19-004-0000-06,00074,7,01,19004000060701,01,1,1,24,06,2018,01,0101,019,221,1,,,,,,,3
19,004,0000,190040000647,2,19-004-0000-06,00078,5,01,19004000064701,01,1,1,18,04,2018,05,0501,019,221,1,,,,,,,3
19,004,0000,190040001098,2,19-004-0000-06,00114,6,02,19004000109801,01,1,1,45,08,2015,01,0101,019,221,1,,,,,,,3
19,004,0000,190040001100,2,19-004-0000-06,00114,6,01,19004000110001,01,1,1,20,02,2020,01,0101,019,221,1,,,,,,,3
19,004,0000,190040001381,2,19-004-0000-03,00002,15,01,19004000138101,01,1,3,25,09,2015,04,0401,019,221,1,,,,,,,1
19,004,0000,190040001429,2,19-004-0000-03,00003,17,01,19004000142901,01,1,1,27,08,2019,03,0301,019,221,1,,,,,,,1
19,005,0000,190050000003,2,19-005-0000-06,00001,4,01,19005000000301,01,1,1,25,05,2017,03,0301,019,221,1,,,,,,,3
19,005,0000,190050000009,2,19-005-0000-06,00001,4,02,19005000000901,01,1,1,18,06,2018,01,0101,019,221,9,,,,,,,3
19,005,0000,190050000058,2,19-005-0000-06,00011,4,01,19005000005801,03,1,3,18,01,2016,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000163,2,19-005-0000-06,00024,5,01,19005000016301,01,1,1,42,12,2015,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000164,2,19-005-0000-06,00024,5,01,19005000016401,01,1,1,44,04,2019,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000343,2,19-005-0000-06,00049,4,01,19005000034301,01,1,1,20,04,2015,01,0101,019,221,1,,,,,,,3
